invoice_no;products
LS35713;"1x PACK PARA 2: 1x Pollo Tikka Masala*, 1x Palak Paneer Vegetariano*, 2x Coca-Cola Zero, lata 0.33l., 2x Arroz Basmati Vegano., 1x Naan., 1x Alitas de Pollo*; 
"
LS35683;"1x Channa Masala (Vegano).: 1x Arroz Basmati Vegano., 1x Channa Masala (Vegano); 
1x Aloo Saag (Vegano).: 1x Sin Pan/Arroz, 1x Aloo Saag (Vegano); 
1x Pollo Vindaloo.: 1x Pollo Vindaloo, 1x Butter Naan.; 
"
LS35677;"1x Pakora de Pollo.: 1x Pakora de Pollo, 1x Salsa de Mango; 
1x Degustación Tandoor de Pollo (para 2 personas).: 1x Arroz Basmati Vegano., 1x Degustación Tandoor de Pollo (para 2 personas); 
"
LS35649;"1x Pollo Madrás.: 1x Sin Pan/Arroz, 1x Pollo Madras ; 
1x Pollo Korma.: 1x Sin Pan/Arroz, 1x Pollo Korma; 
1x Pollo Tikka Masala. : 1x Sin Pan/Arroz, 1x Pollo Tikka Masala; 
"
LS35600;"1x PACK PARA 2: 3x Naan., 2x Nestea, lata 0.33l., 1x Pollo Madrás*, 1x Pollo Jalfrezi*, 1x Pollo Tikka*; 
2x Salsa de Mango; 
"
LS35572;"1x Menú.: 1x Naan de Ajo., 1x Pakora (vegano), 1x Pollo Tikka Masala, 1x Sin Postre , 1x Agua en Botella 0,5cl; 
1x Menú.: 1x Agua en Botella 0,5cl, 1x Naan de Ajo., 1x Pakora (vegano), 1x Pollo Makhani ""Butter Chicken"", 1x Sin Postre ; 
1x "
LS35561;"1x Arroz Basmati Vegano.; 
1x Menú.: 1x Samosa 1 unidad (vegano), 1x Coca-Cola Zero, lata 0.33l., 1x Pollo Tikka Masala, 1x Naan de Queso., 1x Sin Postre ; 
"
LS35541;"1x Pollo Tandoori.: 1x Pollo Tandoori, 1x Sin Pan/Arroz; 
1x Pollo Tikka Masala. : 1x Naan de Ajo., 1x Pollo Tikka Masala; 
1x Arroz Basmati Vegano.; 
"
LS35528;"1x Pollo Tikka Masala. : 1x Sin Pan/Arroz, 1x Pollo Tikka Masala; 
1x Pollo Madrás.: 1x Sin Pan/Arroz, 1x Pollo Madras ; 
1x Pollo Vindaloo.: 1x Pollo Vindaloo, 1x Sin Pan/Arroz; 
"
LS35514;"1x Menú.: 1x Sin Postre , 1x Korma de Verduras (Vegano), 1x Naan., 1x Pakora (vegano), 1x Coca-Cola, lata 0.33l.; 
1x Menú.: 1x Mini Lemon Pie., 1x Curry de Pollo, 1x Samosa 1 unidad (vegano), 1x Arroz Basmati Vegano., 1x Coca-Cola Zero, lat"
LS35511;"1x Arroz al Zeera Vegano.; 
1x Dal Makhani (Vegetariano).: 1x Dal Makhani (Vegetariano), 1x Naan de Ajo.; 
1x Pollo Makhani ""Butter Chicken"".: 1x Butter Naan., 1x Pollo Makhani ""Butter Chicken""; 
1x Pollo Tandoori.: 1x Pollo Tandoori, 1x Butter Naan.; 
"
LS35458;"1x Menú.: 1x Tofu Korma (Vegano), 1x Pakora (vegano), 1x Tandoori Roti (Vegano)., 1x Lassi de Mango., 1x Agua en Botella 0,5cl; 
"
LS35449;"1x Menú.: 1x Pollo Tikka Masala, 1x Sin Postre , 1x Samosa 1 unidad (vegano), 1x Nestea, lata 0.33l., 1x Arroz Basmati Vegano.; 
1x Menú.: 1x Naan., 1x Samosa 1 unidad (vegano), 1x Pollo Makhani ""Butter Chicken"", 1x Sin Postre , 1x Nestea, l"
LS35442;"1x PACK PARA 2: 2x Pollo Tikka Masala*, 2x Coca-Cola Zero, lata 0.33l., 1x Alitas de Pollo*, 2x Arroz Basmati Vegano., 1x Naan de Queso.; 
"
LS35429;"1x Paneer Tikka (Vegetariano).: 1x Butter Naan., 1x Paneer Tikka (vegetariano); 
1x Pollo Tikka.: 1x Butter Naan., 1x Pollo Tikka; 
"
LS35374;"1x PACK PARA 2: 1x Pollo Madrás*, 2x Nestea, lata 0.33l., 1x Pakoras*, 2x Arroz Basmati Vegano., 1x Pollo Tikka Masala*, 1x Naan de Ajo.; 
"
LS35352;"1x PACK PARA 2: 2x Cerveza Moritz 0.0, lata 0,33l., 1x Tofu Tikka Masala Vegano*, 1x Naan., 1x Tandoori Roti (Vegano)., 1x Palak Paneer Vegetariano*, 1x Pakoras*, 1x Arroz Basmati Vegano.; 
"
LS35261;"1x Menú.: 1x Sin Postre , 1x Coca-Cola, lata 0.33l., 1x Naan de Queso., 1x Pollo Tikka Masala, 1x Pappad (vegano); 
1x Arroz Basmati Vegano.; 
"
LS35226;"1x Menú.: 1x Sin Postre , 1x Coca-Cola, lata 0.33l., 1x Pollo Korma, 1x Samosa 1 unidad (vegano), 1x Arroz Basmati Vegano.; 
1x Menú.: 1x Sin Postre , 1x Naan de Queso., 1x Pollo Makhani ""Butter Chicken"", 1x Fanta Naranja, lata 0.33l., 1x Pa"
LS35214;"1x Naan.; 
1x Menú.: 1x Coca-Cola Zero, lata 0.33l., 1x Arroz Basmati Vegano., 1x Samosa 1 unidad (vegano), 1x Curry de Pollo, 1x Sin Postre ; 
1x Menú.: 1x Pakora (vegano), 1x Coca-Cola Zero, lata 0.33l., 1x Naan., 1x Sin Postre , 1x Korma "
LS35192;"1x Arroz Basmati Vegano.; 
1x Pollo Saag.: 1x Pollo Saag , 1x Naan de Queso.; 
1x Pollo Makhani ""Butter Chicken"".: 1x Pollo Makhani ""Butter Chicken"", 1x Naan de Queso.; 
"
LS35110;"1x Menú.: 1x Cerveza Moritz, lata 0,33l., 1x Naan., 1x Lassi de Mango., 1x Pollo Makhani ""Butter Chicken"", 1x Samosa 1 unidad (vegano); 
1x Menú.: 1x Arroz Basmati Vegano., 1x Sin Postre , 1x Pollo Korma, 1x Samosa 1 unidad (vegano), 1x Coca"
LS35094;"1x Menú.: 1x Coca-Cola Zero, lata 0.33l., 1x Pollo Makhani ""Butter Chicken"", 1x Sin Postre , 1x Arroz Basmati Vegano., 1x Pappad (vegano); 
1x Menú.: 1x Pollo Makhani ""Butter Chicken"", 1x Arroz Basmati Vegano., 1x Pakora (vegano), 1x Fanta N"
